clip_stem,split,videos_len
1_1_1_1,train,54
1_1_1_2,train,48
1_1_2_1,train,37
1_1_2_2,train,46
1_1_2_3,train,40
1_1_2_4,train,37
1_1_2_5,train,37
1_1_2_6,train,25
1_1_3_1,train,32
1_1_3_2,train,39
1_1_3_3,train,54
1_1_3_4,train,46
1_1_3_5,train,43
1_1_3_6,train,63
1_1_3_7,train,52
1_1_3_8,train,42
1_1_3_9,train,51
1_1_3_10,train,56
1_1_3_11,train,67
1_1_3_12,train,59
1_1_3_13,train,47
1_1_3_14,train,59
1_1_3_15,train,58
1_1_3_16,train,45
1_1_3_17,train,52
1_1_3_18,train,71
1_1_3_19,train,69
1_1_3_20,train,53
1_1_3_21,train,49
1_1_3_22,train,70
1_1_3_23,train,71
1_1_3_24,train,45
1_1_3_25,train,43
1_1_3_26,train,62
1_1_3_27,train,40
1_1_4_1,train,40
1_1_4_2,train,50
1_1_4_3,train,52
1_1_4_4,train,43
1_1_4_5,train,26
1_1_4_6,train,18
1_1_5_1,train,41
1_1_5_2,train,52
1_1_5_3,train,37
1_1_5_4,train,36
1_1_5_5,train,43
1_1_5_6,train,49
1_1_5_7,train,59
1_1_5_8,train,45
1_1_5_9,train,42
1_1_5_10,train,59
1_1_5_11,train,68
1_1_5_12,train,57
1_1_5_13,train,43
1_1_5_14,train,42
1_1_5_15,train,42
1_1_5_16,train,32
1_1_6_1,train,43
1_1_6_2,train,44
1_1_6_3,train,52
1_1_6_4,train,59
1_1_6_5,train,31
1_1_7_1,train,31
1_1_7_2,train,47
1_1_7_3,train,52
1_1_7_4,train,29
1_1_8_1,train,40
1_1_8_2,train,42
1_1_8_3,train,28
1_1_8_4,train,27
1_1_8_5,train,37
1_1_8_6,train,31
1_1_9_1,train,34
1_1_9_2,train,45
1_1_9_3,train,48
1_1_9_4,train,63
1_1_9_5,train,56
1_1_9_6,train,40
1_1_9_7,train,59
1_1_9_8,train,73
1_1_9_9,train,56
1_1_9_10,train,44
1_1_9_11,train,63
1_1_9_12,train,77
1_1_9_13,train,59
1_1_9_14,train,50
1_1_9_15,train,55
1_1_9_16,train,46
1_1_9_17,train,59
1_1_9_18,train,75
1_1_9_19,train,59
1_1_9_20,train,52
1_1_9_21,train,61
1_1_9_22,train,39
1_1_10_1,train,41
1_1_10_2,train,59
1_1_10_3,train,56
1_1_10_4,train,46
1_1_10_5,train,56
1_1_10_6,train,46
1_1_10_7,train,30
1_1_10_8,train,43
1_1_10_9,train,34
1_1_11_1,train,28
1_1_11_2,train,47
1_1_11_3,train,53
1_1_11_4,train,49
1_1_11_5,train,57
1_1_11_6,train,52
1_1_11_7,train,64
1_1_11_8,train,79
1_1_11_9,train,59
1_1_11_10,train,55
