clip_stem,vid,match,set_id,rally,ball_round,raw_type_en,player_side,split_bst_baseline,split_v2,aroundhead,backhand
1_1_1_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,1,1,short_service,Bottom,train,train,0.0,1.0
1_1_1_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,1,2,clear,Top,train,train,0.0,1.0
1_1_2_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,1,short_service,Bottom,train,train,0.0,1.0
1_1_2_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,2,push,Top,train,train,0.0,1.0
1_1_2_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,3,smash,Bottom,train,train,0.0,0.0
1_1_2_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,4,return_net,Top,train,train,0.0,1.0
1_1_2_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,5,rush,Bottom,train,train,0.0,0.0
1_1_2_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,2,6,drive,Top,train,train,0.0,0.0
1_1_3_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,1,short_service,Bottom,train,train,0.0,1.0
1_1_3_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,2,net_shot,Top,train,train,0.0,1.0
1_1_3_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,3,lob,Bottom,train,train,0.0,0.0
1_1_3_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,4,smash,Top,train,train,0.0,0.0
1_1_3_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,5,return_net,Bottom,train,train,0.0,1.0
1_1_3_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,6,lob,Top,train,train,0.0,1.0
1_1_3_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,7,wrist_smash,Bottom,train,train,0.0,0.0
1_1_3_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,8,return_net,Top,train,train,0.0,0.0
1_1_3_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,9,cross_court_net_shot,Bottom,train,train,0.0,0.0
1_1_3_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,10,net_shot,Top,train,train,0.0,1.0
1_1_3_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,11,lob,Bottom,train,train,0.0,1.0
1_1_3_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,12,wrist_smash,Top,train,train,0.0,0.0
1_1_3_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,13,return_net,Bottom,train,train,0.0,1.0
1_1_3_14,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,14,lob,Top,train,train,0.0,1.0
1_1_3_15,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,15,passive_drop,Bottom,train,train,0.0,0.0
1_1_3_16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,16,drive,Top,train,train,0.0,0.0
1_1_3_17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,17,defensive_return_drive,Bottom,train,train,0.0,1.0
1_1_3_18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,18,clear,Top,train,train,0.0,0.0
1_1_3_19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,19,clear,Bottom,train,train,0.0,0.0
1_1_3_20,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,20,wrist_smash,Top,train,train,0.0,0.0
1_1_3_21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,21,return_net,Bottom,train,train,0.0,1.0
1_1_3_22,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,22,lob,Top,train,train,0.0,1.0
1_1_3_23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,23,clear,Bottom,train,train,0.0,0.0
1_1_3_24,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,24,smash,Top,train,train,0.0,0.0
1_1_3_25,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,25,return_net,Bottom,train,train,0.0,0.0
1_1_3_26,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,26,push,Top,train,train,0.0,0.0
1_1_3_27,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,3,27,passive_drop,Bottom,train,train,0.0,1.0
1_1_4_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,1,short_service,Top,train,train,0.0,1.0
1_1_4_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,2,net_shot,Bottom,train,train,0.0,1.0
1_1_4_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,3,net_shot,Top,train,train,0.0,0.0
1_1_4_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,4,net_shot,Bottom,train,train,0.0,0.0
1_1_4_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,5,rush,Top,train,train,0.0,0.0
1_1_4_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,4,6,return_net,Bottom,train,train,0.0,1.0
1_1_5_1,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,1,short_service,Bottom,train,train,0.0,1.0
1_1_5_2,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,2,push,Top,train,train,0.0,1.0
1_1_5_3,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,3,wrist_smash,Bottom,train,train,0.0,0.0
1_1_5_4,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,4,defensive_return_drive,Top,train,train,0.0,0.0
1_1_5_5,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,5,smash,Bottom,train,train,1.0,0.0
1_1_5_6,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,6,defensive_return_lob,Top,train,train,0.0,1.0
1_1_5_7,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,7,clear,Bottom,train,train,0.0,0.0
1_1_5_8,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,8,smash,Top,train,train,0.0,0.0
1_1_5_9,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,9,return_net,Bottom,train,train,0.0,0.0
1_1_5_10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,10,lob,Top,train,train,0.0,0.0
1_1_5_11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,11,clear,Bottom,train,train,0.0,0.0
1_1_5_12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,12,passive_drop,Top,train,train,0.0,1.0
1_1_5_13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,set1,5,13,push,Bottom,train,train,0.0,1.0
